index_op;trans_date_trans_time;merchant;category;amt;city;state;latitude;longitude;city_pop;job;dob;trans_num;merch_lat;merch_long;is_fraud
47;2019-01-01T02:54:10.000;Kassulke PLC;shopping_net;1055.47;Iliff;CO;407.692;-1.030.968;648;Community arts worker;1969-09-21T00:00:00.000;adca67d0a40b26fb8afeccbae31b7828;39.940.564;-103.528.231;0
48;2019-01-01T02:56:28.000;Dach-Nade;misc_net;16.65;Burlington;WA;484.786;-1.223.345;14871;Public house manager;1974-03-10T00:00:00.000;ffdaa290d0841d7babaf495aab382031;49.073.601;-122.924.793;0
49;2019-01-01T02:56:56.000;Hills-Witting;shopping_net;8.7;Wales;AK;647.556;-1.656.723;145;Administrator, education;1939-11-09T00:00:00.000;f72573a40026254460e02d05ae72672a;65.023.497;-166.148.374;0
50;2019-01-01T03:01:34.000;Bins, Balistreri and Beatty;shopping_pos;3.19;Mound City;MO;401.362;-952.138;1631;Architect;1953-01-20T00:00:00.000;20c1cf41b472000887395508c5796354;39.299.707;-95.975.808;0
51;2019-01-01T03:07:21.000;Miller-Hauck;grocery_pos;202.71;Burlington;WA;484.786;-1.223.345;14871;Public house manager;1974-03-10T00:00:00.000;4dde02d07e676d0df3e90565c242a2ec;49.221.275;-12.332.192;0
52;2019-01-01T03:12:06.000;Rohan, White and Aufderh;misc_net;8.68;Greenview;CA;415.403;-1.229.366;308;Call centre manager;1958-09-20T00:00:00.000;6d76dfcd39a8262fa7b8e723e0c6cf7f;41.013.729;-122.403.496;0
53;2019-01-01T03:12:10.000;DuBuque LLC;grocery_pos;176.57;Lakeport;CA;39.047;-1.229.328;11256;Podiatrist;1972-10-18T00:00:00.000;26db4a0f3aa2089bd1823652cba9ece1;3.876.254;-122.339.375;0
54;2019-01-01T03:12:23.000;Bins-Rice;gas_transport;49.1;Westerville;NE;414.193;-993.844;73;Product designer;1935-02-10T00:00:00.000;0e83bc0fc886293d57759db709b80962;40.722.191;-98.680.216;0
55;2019-01-01T03:12:57.000;Cormier, Stracke and Thiel;entertainment;3.14;Honokaa;HI;200.827;-155.488;4878;Physiotherapist;1966-12-03T00:00:00.000;cb117fff5645082a2525119c1eafec53;20.995.398;-155.369.362;0
56;2019-01-01T03:15:42.000;Gottlieb, Considine and Schultz;shopping_net;6.32;Llano;NM;361.486;-1.056.648;247;Architectural technologist;1961-10-24T00:00:00.000;4c17683e079020ad3865092205f92d81;36.867.679;-105.042.958;0
57;2019-01-01T03:18:00.000;Jenkins, Hauck and Friesen;gas_transport;44.68;Carlotta;CA;40.507;-1.239.743;1139;Therapist, occupational;1951-01-15T00:00:00.000;12ef4798422ce322c149339afd3072c7;40.459.474;-124.214.281;0
58;2019-01-01T03:24:07.000;Cummerata-Jones;gas_transport;69.3;Ballwin;MO;38.577;-905.255;92608;Engineer, communications;2001-07-26T00:00:00.000;6736a2032d3a9f612176c57e07480c5b;38.166.105;-90.912.756;0
59;2019-01-01T03:37:43.000;Goldner, Kovacek and Abbott;grocery_pos;111.81;Dumont;CO;397.532;-1.056.356;565;Mental health nurse;1978-08-27T00:00:00.000;3dedb528e11d51102e96dd450a82ba0a;40.417.719;-10.538.411;0
60;2019-01-01T03:45:30.000;Romaguera, Cruickshank and Greenholt;shopping_net;511.09;Grenada;CA;416.125;-1.225.258;589;Systems analyst;1945-12-21T00:00:00.000;46397744ae13d2c0843e8fba6f164379;42.412.743;-121.617.857;0
61;2019-01-01T03:49:16.000;Kilback LLC;grocery_pos;68.96;Fullerton;NE;41.366;-980.054;1749;Surveyor, mining;1973-05-07T00:00:00.000;b2820a9708d41515e2a1590d3cce80d4;41.182.138;-98.751.918;0
62;2019-01-01T03:54:07.000;VonRueden Group;grocery_net;105.38;North Loup;NE;414.972;-987.858;509;Nurse, children's;1980-09-15T00:00:00.000;dc1c09ff158f17c023c59c9d9e0d196f;41.271.599;-99.630.652;0
63;2019-01-01T03:56:13.000;Haley, Jewess and Bechtel;shopping_pos;2.49;Browning;MO;40.029;-931.607;602;Cytogeneticist;1954-07-14T00:00:00.000;d5b3a6e6afe4ff2c96b5fe0355ff8b55;39.052.625;-92.428.684;0
64;2019-01-01T04:00:47.000;Hudson-Ratke;grocery_pos;122.86;Kent;OR;450.838;-1.206.649;60;Museum education officer;1942-04-03T00:00:00.000;b48cee6edd7f798cb5d4080b82e4a1fe;44.189.625;-121.655.209;0
65;2019-01-01T04:03:53.000;Brekke and Sons;gas_transport;84.58;Holstein;NE;404.542;-986.538;331;Telecommunications researcher;1950-08-19T00:00:00.000;946ab3d0eaf1a37f11668ae3c1d55a2c;40.310.753;-99.581.023;0
66;2019-01-01T04:08:38.000;Terry-Huel;shopping_net;9.52;Mound City;MO;401.362;-952.138;1631;Architect;1953-01-20T00:00:00.000;771a63aaf5210acfbf5ac2403aad30af;39.790.646;-95.043.146;0
67;2019-01-01T04:14:13.000;Eichmann-Russel;misc_pos;35;Fiddletown;CA;385.234;-1.206.763;832;Immigration officer;1987-05-19T00:00:00.000;6f2eff909c82577af2cdb75e5b9a6232;38.370.985;-121.358.847;0
68;2019-01-01T04:15:24.000;Heller, Gutmann and Zieme;grocery_pos;203.26;Huntington Beach;CA;336.773;-1.180.051;190249;Therapist, horticultural;1976-09-17T00:00:00.000;b34814818c2ecd0f86214bf1a6dc1a64;33.010.001;-117.705.689;0
69;2019-01-01T04:23:33.000;Bailey-Mo;grocery_pos;123.9;Blairsden-Graeagle;CA;398.127;-1.206.405;1725;Chartered legal executive (England and Wales);1967-05-27T00:00:00.000;2a98efe0b90779ab29581f3553d87739;39.229.442;-120.493.701;0
70;2019-01-01T04:26:21.000;Corwin-Collins;gas_transport;50.16;Centerview;MO;387.897;-938.702;2368;Electronics engineer;1989-07-17T00:00:00.000;e95e53d1c091289a54cde0414762751d;38.964.313;-93.497.747;0
71;2019-01-01T04:29:14.000;Balistreri-Nade;misc_pos;22.88;Tomales;CA;382.427;-1.229.145;337;Occupational psychologist;1954-07-05T00:00:00.000;2fcbde131cff833751dde53da54da6da;39.060.101;-121.969.417;0
72;2019-01-01T04:32:59.000;Rippin, Kub and Mann;misc_net;6;Manville;WY;42.73;-1.047.024;241;Educational psychologist;1980-12-16T00:00:00.000;28528ab2c10390c3b31e401c44365ab5;42.770.247;-103.945.514;0
73;2019-01-01T04:40:53.000;Casper, Hand and Zul;grocery_pos;175.51;Newhall;CA;343.795;-118.523;34882;Health physicist;1971-04-25T00:00:00.000;9f5a130b4ae9efb87867ce8dc878f412;33.731.713;-119.507.821;0
74;2019-01-01T04:43:26.000;Kutch LLC;gas_transport;69.64;Grenada;CA;416.125;-1.225.258;589;Systems analyst;1945-12-21T00:00:00.000;23cd7287ce2a70d9754cc0f1263ee99f;41.673.903;-12.351.086;0
75;2019-01-01T04:52:32.000;O'Keefe-Hudson;grocery_pos;209.89;Phoenix;AZ;335.623;-1.120.559;1312922;Contractor;1981-10-24T00:00:00.000;e6528b0d35f36cb29cdca6936aaf1107;33.133.991;-111.460.639;0
76;2019-01-01T04:55:19.000;McDermott-Weimann;grocery_pos;236.18;Meridian;ID;436.498;-1.164.306;84106;Intelligence analyst;1971-02-11T00:00:00.000;f5afac4b2726300db61d131c65db187d;44.404.099;-115.887.498;0
77;2019-01-01T04:55:50.000;Connelly, Reichert and Fritsch;gas_transport;57.36;Centerview;MO;387.897;-938.702;2368;Electronics engineer;1989-07-17T00:00:00.000;bc763a7872b62564b0ebb0a94e2a4f26;38.508.607;-93.603.368;0
78;2019-01-01T04:56:01.000;Cummerata-Jones;gas_transport;55.99;Glendale;CA;341.556;-1.182.322;172817;Advertising account planner;1982-07-30T00:00:00.000;011d132dc3afd3480fd36cb5f3d2b09b;33.778.002;-119.013.484;0
79;2019-01-01T04:57:58.000;Streich, Hansen and Veum;gas_transport;61.39;Orient;WA;488.878;-1.182.105;149;Special educational needs teacher;1978-06-21T00:00:00.000;9825a8292f6b25bb7d54b253bb3336f6;48.394.218;-117.363.563;0
80;2019-01-01T04:59:14.000;Reichert, Shanahan and Hayes;shopping_net;78.56;Alva;WY;446.873;-1.044.414;110;Administrator, local government;1973-05-16T00:00:00.000;d01846bf25a4eedf3366527b3b79b4ff;44.678.642;-104.128.312;0
81;2019-01-01T05:02:02.000;Dickinson-Rempel;misc_pos;16.85;Blairstown;MO;385.319;-939.221;467;Agricultural consultant;1950-05-27T00:00:00.000;021e1cf84aec0f63646565e38cb756ec;3.904.432;-94.698.256;0
82;2019-01-01T05:07:11.000;Wiza, Schaden and Stark;misc_pos;45.4;Laguna Hills;CA;33.615;-1.177.114;45303;Sales executive;1969-12-22T00:00:00.000;987db990882b791e835e5b589cb84abc;33.916.129;-117.095.988;0
83;2019-01-01T05:14:57.000;Spinka Inc;grocery_net;48.31;Dumont;CO;397.532;-1.056.356;565;Mental health nurse;1978-08-27T00:00:00.000;23a79ef1e368a318c1db57a666d024d6;40.504.011;-106.561.224;0
84;2019-01-01T05:16:45.000;Schaefer, Maggio and Daugherty;gas_transport;81.25;Albuquerque;NM;350.561;-1.065.506;641349;Charity officer;1967-01-24T00:00:00.000;d534c24b383c65487d128d525c8d6b91;35.977.961;-107.434.031;0
85;2019-01-01T05:19:17.000;Bailey-Mo;grocery_pos;193.1;Azusa;CA;341.248;-1.179.031;59705;Civil Service fast streamer;1983-06-23T00:00:00.000;6c8edd752c68cb18b781380b5487e5cd;33.437.683;-117.678.285;0
86;2019-01-01T05:36:15.000;Sporer Inc;gas_transport;51.84;Gardiner;OR;437.857;-1.241.437;260;Engineer, maintenance;1956-09-01T00:00:00.000;9c47babfde0e067a090c5cea65e58835;44.047.555;-123.800.294;0
87;2019-01-01T05:36:16.000;Prohaska-Murray;gas_transport;46.66;Mound City;MO;401.362;-952.138;1631;Architect;1953-01-20T00:00:00.000;b8e3100c6bccb605dd98a848e2c76eda;41.071.606;-94.999.602;0
88;2019-01-01T05:39:44.000;Bartoletti-Wunsch;gas_transport;56.65;Blairsden-Graeagle;CA;398.127;-1.206.405;1725;Chartered legal executive (England and Wales);1967-05-27T00:00:00.000;c198762abf80d696e56eaa0646632488;3.925.212;-120.809.112;0
89;2019-01-01T05:41:23.000;O'Keefe-Hudson;grocery_pos;175.26;Rock Springs;WY;41.606;-109.23;27971;Music therapist;1984-08-01T00:00:00.000;ed00708f7af7c1818bc14f4dd36036d4;4.225.722;-109.312.091;0
90;2019-01-01T05:44:16.000;Heller-Langosh;gas_transport;62.62;Paauilo;HI;200.271;-1.553.697;1490;Scientist, research (maths);1991-04-13T00:00:00.000;4e14f0bd0481beb88caa1dc4422ed8e6;19.209.212;-15.516.214;0
91;2019-01-01T05:50:09.000;Emard Inc;gas_transport;32.6;Browning;MO;40.029;-931.607;602;Cytogeneticist;1954-07-14T00:00:00.000;86cad0e7682a85fa6418dde1a0a33a44;39.335.685;-92.982.647;0
92;2019-01-01T05:52:39.000;Vandervort-Funk;grocery_pos;83.38;Eugene;OR;440.385;-1.230.614;191096;Scientist, physiological;1964-04-06T00:00:00.000;6e012022d698a9136bfac48be9b3d050;43.659.954;-123.848.539;0
93;2019-01-01T05:56:54.000;Adams, Kovacek and Kuhlman;grocery_net;74.85;Daly City;CA;376.787;-122.478;107941;Buyer, industrial;1991-10-04T00:00:00.000;5674d7c6891a3d5e9a9fa208730057a4;38.544.098;-123.311.607;0
94;2019-01-01T06:15:18.000;Pacocha-Bauch;shopping_pos;1.95;Mendon;UT;41.71;-1.119.817;2078;Scientist, audiological;1963-06-13T00:00:00.000;dac965dc4f91c065fe36327431ead52a;41.930.677;-111.044.483;0
95;2019-01-01T06:20:49.000;Hudson-Ratke;grocery_pos;199.55;Littleton;CO;395.994;-1.050.044;320420;Water engineer;1975-07-31T00:00:00.000;a5c13edd756f36c026630d13672974bd;38.619.691;-105.498.059;0
96;2019-01-01T06:24:47.000;Harber Inc;gas_transport;94.48;Orient;WA;488.878;-1.182.105;149;Special educational needs teacher;1978-06-21T00:00:00.000;c9235f76ecb45e67372d79ecac2ffb37;49.513.555;-117.819.653;0
97;2019-01-01T06:25:07.000;Berge LLC;gas_transport;79.39;Mesa;ID;446.255;-1.164.493;129;Cartographer;1965-12-15T00:00:00.000;606b05a976ee2bca7323d6afc85e63ce;43.673.602;-11.640.606;0
98;2019-01-01T06:25:40.000;Pagac LLC;shopping_pos;5.05;Powell Butte;OR;442.415;-1.210.113;2016;Local government officer;1953-12-25T00:00:00.000;d44f496e9daab912914ac9513b038df2;44.245.679;-121.333.658;0
99;2019-01-01T06:32:36.000;Erdman-Kertzmann;gas_transport;69.72;Utica;MO;397.417;-936.289;271;Land/geomatics surveyor;1972-04-18T00:00:00.000;6ed5502e8464efee2e341959617bb656;39.053.407;-93.972.916;0
100;2019-01-01T06:47:11.000;Kilback LLC;grocery_pos;94.7;Santa Monica;CA;340.287;-1.184.924;92043;Civil engineer, contracting;1961-04-25T00:00:00.000;53ce9a8288680138029c000eccda3ef5;34.238.172;-117.644.726;0
101;2019-01-01T06:48:38.000;McGlynn-Heathcote;misc_net;199.91;Laramie;WY;414.247;-1.054.781;35371;Pilot, airline;1988-09-02T00:00:00.000;515bbdc506029e792d2e1ed06e860645;40.476.974;-105.541.846;0
102;2019-01-01T06:52:31.000;Torp-Labadie;gas_transport;48.1;Lagrange;WY;416.423;-1.041.974;635;Product/process development scientist;1973-07-13T00:00:00.000;db9c80e90e2d21b61b53050f15845615;41.045.216;-104.409.531;0
103;2019-01-01T06:54:07.000;Greenholt, Jacobi and Gleason;gas_transport;64.92;Brainard;NE;411.832;-969.882;614;Associate Professor;1967-06-20T00:00:00.000;c2959f6ce246f729459ea50b5de61c78;4.213.144;-96.938.715;0
104;2019-01-01T07:03:11.000;Volkman-Predovic;shopping_net;6.48;Humboldt;AZ;345.189;-1.122.523;1179;Civil engineer, contracting;1955-01-20T00:00:00.000;1c3b455d21e7debb5c8b20097666958e;33.676.231;-112.389.594;0
105;2019-01-01T07:09:10.000;Funk Group;grocery_net;51.28;Phoenix;AZ;338.155;-1.121.202;1312922;Counselling psychologist;1999-11-30T00:00:00.000;c56c309fa13d1c9ee97aadd3b1eb313b;34.166.811;-111.595.599;0
106;2019-01-01T07:10:26.000;Christiansen, Goyette and Schamberge;gas_transport;92.76;Mendon;UT;41.71;-1.119.817;2078;Scientist, audiological;1963-06-13T00:00:00.000;caedb2e95360b4615a85193357810e38;42.599.951;-112.758.179;0
107;2019-01-01T07:11:55.000;Conroy-Cruickshank;gas_transport;71.06;Redford;MO;373.272;-910.243;241;Investment analyst;1974-10-27T00:00:00.000;a29812ac63e9b065046efd387a6ec8b5;36.447.073;-91.941.927;0
108;2019-01-01T07:13:01.000;Jast and Sons;food_dining;74.09;Corona;CA;338.419;-1.176.043;233717;Wellsite geologist;1966-05-22T00:00:00.000;4a4cf450e1ee2741e3c3a43544c3cd64;33.917.816;-117.821.826;0
109;2019-01-01T07:17:54.000;Bailey-Mo;grocery_pos;60.65;Moab;UT;385.677;-1.095.271;9772;Location manager;1989-11-24T00:00:00.000;ce01044c1bfbdb2dd8afb20b3b104f98;38.015.263;-109.543.831;0
110;2019-01-01T07:20:02.000;Mraz-Herzog;gas_transport;60.15;Yellowstone National Park;WY;447.957;-1.106.137;369;Materials engineer;1941-11-16T00:00:00.000;ff065ff2abbe15990f3ccbd5e549f085;4.568.706;-109.891.525;0
111;2019-01-01T07:20:08.000;Emard Inc;gas_transport;42.1;Shedd;OR;44.453;-1.231.065;917;Radio broadcast assistant;1995-07-08T00:00:00.000;ebbffdde1a88f889b1eea0a895eabf10;43.595.613;-123.429.412;0
112;2019-01-01T07:22:34.000;Schamberger-O'Keefe;grocery_pos;205.76;Kansas City;MO;389.621;-945.959;545147;Counsellor;1987-11-18T00:00:00.000;28f3be829fc05cc266b8e20e4d07e0eb;39.511.175;-94.760.973;0
113;2019-01-01T07:24:26.000;Wolf Inc;grocery_pos;212.87;Kansas City;MO;389.621;-945.959;545147;Counsellor;1987-11-18T00:00:00.000;100f6146829a593605fe199a0a0fb4d5;38.440.444;-93.968.005;0
114;2019-01-01T07:28:43.000;Kutch LLC;gas_transport;77.83;Westfir;OR;437.575;-122.481;597;Forensic psychologist;1961-05-19T00:00:00.000;b8848e6439f24ca232b875cc8c548bb9;44.438.045;-121.970.543;0
115;2019-01-01T07:34:46.000;Olson, Becker and Koch;gas_transport;91.22;Littleton;CO;395.994;-1.050.044;320420;Water engineer;1975-07-31T00:00:00.000;d81638aacaad5494f155cf70e1912957;40.062.868;-105.199.294;0
